PROJECT_ID,COMMIT_HASH,LINES_ADDED,LINES_REMOVED,num_commit,lines_added_last_commits,lines_removed_last_commits
org.apache:archiva,d9e22fa7781c37b8df8a0a3e358ec0b1ace43451,626,51,47192,1304,714
org.apache:archiva,a2dd1fd1a42c97c3bb30ce4e7a4906a7e28b496c,334,97,47619,1748,565
org.apache:archiva,0af7305111705073bc62ddbf3830f84a3b938355,1917,773,48391,1927,649
org.apache:archiva,cd9c1097d1aa5ef92dcd66002c125d33dfa13895,366,159,48432,3558,1279
org.apache:archiva,28e54029c0e02d69ed56c6f97d0c4c301b706802,1365,141,49700,3422,1202
org.apache:archiva,d9b6ddeba1c88ee0d88b93a27f7b41ac68e39ff3,344,219,50414,4608,1221
org.apache:archiva,711bb6c0c6e885dfa33120e4222b0be11d80b36b,2418,290,51250,4326,1389
org.apache:archiva,44ebf70e2df5fa1fb050b85715edd729a75253e8,62,308,52486,6410,1582
org.apache:archiva,5cdf0b8fa4251ef40c94e9416ccb4843214bf2e2,1594,121,53222,4555,1117
org.apache:archiva,0c61521ddeacaa239a4dede80efabe0642e9f463,1534,483,53956,5783,1079
org.apache:archiva,fa24587f89101b2fc19750958ba72474df94241a,1163,524,54894,5952,1421
org.apache:archiva,4fe80f811a2616b9af5407252343b567eb68ae40,155,102,55315,6771,1726
org.apache:archiva,8946eb16818609f9b23d52b3a5ab8c3e861b2f22,155,102,55338,4508,1538
org.apache:archiva,4b9ef913f999b1d4fa9d953443f3c7ddfea9c018,86,136,59296,4601,1332
org.apache:archiva,d6a6f7b316f0f8ffa0a5da8b4a02d255a7360413,247,6,59822,3093,1347
org.apache:archiva,b0304e08c3e10f7ffd8efc2e07f57beb3f482f8d,518,1676,60144,1806,870
org.apache:archiva,20080174a488ad524cdacedc14048ad042b55648,316,175,60525,1161,2022
org.apache:archiva,021495050a1047b6d13dad8b7844d389a2ba1e0c,21,21,61472,1322,2095
org.apache:archiva,bf34387459021c5c677c6c90c4b48f52821f06da,320,206,61728,1188,2014
org.apache:archiva,cef293cf574359cda04473e4010ee3c1b7059ee8,58,25,61785,1422,2084
org.apache:archiva,627ad47211e5ce1d14218e4ed495f786b4128eac,991,253,63825,1233,2103
org.apache:archiva,3c42d0834ee08f6454c6eb43314ed88313874037,45,43,64158,1706,680
org.apache:archiva,42336da5e38cdc12e0eb268590dcb8f9bff5c4f7,3601,1272,64862,1435,548
org.apache:archiva,e52e0793dff4db34b8b81dc5d2380871daaa9a1a,1972,1541,65561,5015,1799
org.apache:archiva,4abee3dd5551edbe4b7c979dabc17f1b034ba189,383,157,69006,6667,3134
org.apache:archiva,ebba6ca1d7022e5022b28a13b471d27c172199c8,29,121,69165,6992,3266
org.apache:archiva,0960c24cfbf3c11faa4871b1029308e78d8caa7c,311,189,69360,6030,3134
org.apache:archiva,0507f8aa80ea5bb903b6030604493d95017324db,160,1805,69861,6296,3280
org.apache:archiva,baf4c89435e946517008e02706d98029adebbdec,667,282,70397,2855,3813
org.apache:archiva,f1f0ceaf47e692c20a110a8f67990b5edcc5d707,211,10,71100,1550,2554
org.apache:archiva,2c63e15d42b6af0e69a5e2426aeb7c8c30e1af7f,341,15,71950,1378,2407
org.apache:archiva,0aa3e955eadc043909a30c9c83d96bf045412bbc,3765,132,72082,1690,2301
org.apache:archiva,f8b9e076b351db6cb2aca0243fcb364e25ae7039,2630,1268,73396,5144,2244
org.apache:archiva,0cf3f93e5aa693ca14bbe52387f4cc5b5be92b06,328,692,75880,7614,1707
org.apache:archiva,379bbb72250011dd8586a9368c6aed7d8ce1c5fc,6701,1237,76447,7275,2117
org.apache:archiva,a6c9464436d9667324436fcb965bc1fde9e23ef5,1555,29,76824,13765,3344
org.apache:archiva,9acde9b594de05eca16a005a7d39d4912fc26980,402,258,76944,14979,3358
